region,community,cases,date
AGOURA HILLS,AGOURA HILLS,1,2020-03-23
AGOURA HILLS,AGOURA HILLS,3,2020-03-24
AGOURA HILLS,AGOURA HILLS,3,2020-03-25
AGOURA HILLS,AGOURA HILLS,5,2020-03-26
AGOURA HILLS,AGOURA HILLS,6,2020-03-27
AGOURA HILLS,AGOURA HILLS,9,2020-03-28
AGOURA HILLS,AGOURA HILLS,9,2020-03-29
AGOURA HILLS,AGOURA HILLS,9,2020-03-30
AGOURA HILLS,AGOURA HILLS,11,2020-03-31
AGOURA HILLS,AGOURA HILLS,10,2020-04-01
AGOURA HILLS,AGOURA HILLS,14,2020-04-02
AGOURA HILLS,AGOURA HILLS,16,2020-04-03
AGOURA HILLS,AGOURA HILLS,17,2020-04-04
AGOURA HILLS,AGOURA HILLS,18,2020-04-05
AGOURA HILLS,AGOURA HILLS,18,2020-04-06
AGOURA HILLS,AGOURA HILLS,19,2020-04-07
AGOURA HILLS,AGOURA HILLS,19,2020-04-08
AGOURA HILLS,AGOURA HILLS,20,2020-04-09
AGOURA HILLS,AGOURA HILLS,20,2020-04-10
AGOURA HILLS,AGOURA HILLS,20,2020-04-11
AGOURA HILLS,AGOURA HILLS,20,2020-04-12
AGOURA HILLS,AGOURA HILLS,20,2020-04-13
AGOURA HILLS,AGOURA HILLS,21,2020-04-14
AGOURA HILLS,AGOURA HILLS,21,2020-04-15
ALHAMBRA,ALHAMBRA,2,2020-03-16
ALHAMBRA,ALHAMBRA,1,2020-03-17
ALHAMBRA,ALHAMBRA,1,2020-03-18
ALHAMBRA,ALHAMBRA,2,2020-03-19
ALHAMBRA,ALHAMBRA,3,2020-03-20
ALHAMBRA,ALHAMBRA,3,2020-03-21
ALHAMBRA,ALHAMBRA,3,2020-03-22
ALHAMBRA,ALHAMBRA,4,2020-03-23
ALHAMBRA,ALHAMBRA,5,2020-03-24
ALHAMBRA,ALHAMBRA,6,2020-03-25
ALHAMBRA,ALHAMBRA,8,2020-03-26
ALHAMBRA,ALHAMBRA,8,2020-03-27
ALHAMBRA,ALHAMBRA,10,2020-03-28
ALHAMBRA,ALHAMBRA,10,2020-03-29
ALHAMBRA,ALHAMBRA,11,2020-03-30
ALHAMBRA,ALHAMBRA,13,2020-03-31
ALHAMBRA,ALHAMBRA,13,2020-04-01
ALHAMBRA,ALHAMBRA,15,2020-04-02
ALHAMBRA,ALHAMBRA,17,2020-04-03
ALHAMBRA,ALHAMBRA,19,2020-04-04
ALHAMBRA,ALHAMBRA,21,2020-04-05
ALHAMBRA,ALHAMBRA,22,2020-04-06
ALHAMBRA,ALHAMBRA,24,2020-04-07
ALHAMBRA,ALHAMBRA,26,2020-04-08
ALHAMBRA,ALHAMBRA,27,2020-04-09
ALHAMBRA,ALHAMBRA,32,2020-04-10
ALHAMBRA,ALHAMBRA,33,2020-04-11
ALHAMBRA,ALHAMBRA,33,2020-04-12
ALHAMBRA,ALHAMBRA,34,2020-04-13
ALHAMBRA,ALHAMBRA,35,2020-04-14
ALHAMBRA,ALHAMBRA,37,2020-04-15
ARCADIA,ARCADIA,1,2020-03-16
ARCADIA,ARCADIA,1,2020-03-17
ARCADIA,ARCADIA,2,2020-03-18
ARCADIA,ARCADIA,2,2020-03-19
ARCADIA,ARCADIA,2,2020-03-20
ARCADIA,ARCADIA,2,2020-03-21
ARCADIA,ARCADIA,2,2020-03-22
ARCADIA,ARCADIA,3,2020-03-23
ARCADIA,ARCADIA,4,2020-03-24
ARCADIA,ARCADIA,4,2020-03-25
ARCADIA,ARCADIA,6,2020-03-26
ARCADIA,ARCADIA,6,2020-03-27
ARCADIA,ARCADIA,8,2020-03-28
ARCADIA,ARCADIA,9,2020-03-29
ARCADIA,ARCADIA,9,2020-03-30
ARCADIA,ARCADIA,10,2020-03-31
ARCADIA,ARCADIA,12,2020-04-01
ARCADIA,ARCADIA,12,2020-04-02
ARCADIA,ARCADIA,13,2020-04-03
ARCADIA,ARCADIA,13,2020-04-04
ARCADIA,ARCADIA,14,2020-04-05
ARCADIA,ARCADIA,16,2020-04-06
ARCADIA,ARCADIA,17,2020-04-07
ARCADIA,ARCADIA,17,2020-04-08
ARCADIA,ARCADIA,18,2020-04-09
ARCADIA,ARCADIA,19,2020-04-10
ARCADIA,ARCADIA,20,2020-04-11
ARCADIA,ARCADIA,22,2020-04-12
ARCADIA,ARCADIA,22,2020-04-13
ARCADIA,ARCADIA,23,2020-04-14
ARCADIA,ARCADIA,25,2020-04-15
ARTESIA,ARTESIA,NA,2020-03-27
ARTESIA,ARTESIA,NA,2020-03-28
ARTESIA,ARTESIA,NA,2020-03-29
ARTESIA,ARTESIA,NA,2020-03-30
ARTESIA,ARTESIA,NA,2020-03-31
ARTESIA,ARTESIA,NA,2020-04-01
ARTESIA,ARTESIA,NA,2020-04-02
ARTESIA,ARTESIA,NA,2020-04-03
ARTESIA,ARTESIA,NA,2020-04-04
ARTESIA,ARTESIA,NA,2020-04-05
ARTESIA,ARTESIA,NA,2020-04-06
ARTESIA,ARTESIA,NA,2020-04-07
ARTESIA,ARTESIA,NA,2020-04-08
ARTESIA,ARTESIA,NA,2020-04-09
ARTESIA,ARTESIA,NA,2020-04-10
ARTESIA,ARTESIA,5,2020-04-11
ARTESIA,ARTESIA,5,2020-04-12
ARTESIA,ARTESIA,5,2020-04-13
ARTESIA,ARTESIA,5,2020-04-14
ARTESIA,ARTESIA,5,2020-04-15
AVALON,AVALON,0,2020-03-27
AVALON,AVALON,0,2020-03-28
AVALON,AVALON,0,2020-03-29
AVALON,AVALON,0,2020-03-30
